セクション,ID,優先度,回帰,手順,期待結果,結果_iPhone_Safari,結果_Mac_Chrome,結果_Firefox_任意,メモ,実施日,実施者,ビルド_commit_URL,データモード
0.共通・ナビ,COM-01,P0,,各画面でボトムナビ5項目をタップ,ホーム／検索／作成／通知／プロフィールへ遷移。アクティブ表示が正しい,,,,,,,,
0.共通・ナビ,COM-02,P1,,各画面で戻る（ヘッダー）,前画面に戻る。タブ状態が保持される場合は URL と一致（?tab= 等）,,,,,,,,
0.共通・ナビ,COM-03,P1,,トースト表示（ブックマーク・コピー等）,画面下部中央・幅は375px時おおよそ335px相当。2秒程度で消える,,,,,,,,
0.共通・ナビ,COM-04,P2,,375 / 320 / 414px でレイアウト,横はみ出し・文字切れ・タップ領域不足がない,,,,,,,,
0.共通・ナビ,COM-05,P1,,ページリロード（F5 / 引っ張り更新）,ログイン状態・タブ・直前の操作結果が破綻しない（KV設定時）,,,,,,,,
1.ログイン・認証,AUTH-01,P0,,未ログインでプロフィール,ログイン促進またはゲスト表示。クラッシュしない,,,,,,,,
1.ログイン・認証,AUTH-02,P0,,/profile/login で user1 を選択してログイン,プロフィールに遷移。ニックネーム・アイコンが表示される,,,,,,,,
1.ログイン・認証,AUTH-03,P1,,ログイン中に別 user で「ログイン中」表示,重複ログイン防止の UI が期待どおり（選択不可等）,,,,,,,,
1.ログイン・認証,AUTH-04,P0,,設定からログアウト,ゲスト状態に戻る。マイデータは user 別に分離される,,,,,,,,
1.ログイン・認証,AUTH-05,P1,,コメント画面からログイン→戻る,returnTo で元のコメントページに戻れる,,,,,,,,
1.ログイン・認証,AUTH-06,P1,,ログイン後にニックネーム変更（アカウント管理）,タイムライン上の自分の表示名が更新される,,,,,,,,
2.HOME,HOME-01,P0,,初回表示（KVあり）,「読み込み中…」のあとカード一覧が表示される,,,,,,,,
2.HOME,HOME-02,P0,,タブ「急上昇中」「新着」「myTimeline」切替,一覧が切り替わる。URL ?tab= と一致,,,,,,,,
2.HOME,HOME-03,P1,,未ログインで myTimeline,タブが出ない／選択できない／クエリが外れる,,,,,,,,
2.HOME,HOME-04,P0,,カードで A/B に投票,結果表示・票数更新。投票済み状態になる,,,,,,,,
2.HOME,HOME-05,P0,,投票済みカードが急上昇・新着から消えない,仕様どおり一覧に残る,,,,,,,,
2.HOME,HOME-06,P1,,コメントアイコンタップ,/comments/[id] へ遷移,,,,,,,,
2.HOME,HOME-07,P1,,ブックマークアイコン,モーダルが開く。未ログイン時はログイン促進,,,,,,,,
2.HOME,HOME-08,P1,,⋯メニュー（非表示・通報等）,カード／ユーザー非表示が効く,,,,,,,,
2.HOME,HOME-09,P1,,シェア,リンクコピー・トースト,,,,,,,,
2.HOME,HOME-10,P2,,タブ復帰・ブラウザバック,選択タブ・スクロールが極端に壊れない,,,,,,,,
2.HOME,HOME-11,P1,,VOTE作成完了後・新着タブ,「VOTEを作成しました」トースト（1回だけ）,,,,,,,,
3.コメント,CMT-01,P0,,未投票で「コメントする」,投票促進。コメント送信できない,,,,,,,,
3.コメント,CMT-02,P0,,投票→コメントページ→コメント1件投稿,1件だけ表示（2件重複しない）,,,,,,,,
3.コメント,CMT-03,P0,,上記のあとリロード,コメントが残る。投票済みのまま,,,,,,,,
3.コメント,CMT-04,P0,,ブックマーク追加→解除,コメントが消えない,,,,,,,,
3.コメント,CMT-05,P1,,返信（スレッド・リプライページ）,親コメントに紐づく。件数・表示が正しい,,,,,,,,
3.コメント,CMT-06,P1,,コメント並び替え（新しい順／古い順）,順序が切り替わる,,,,,,,,
3.コメント,CMT-07,P1,,自分のコメント削除,一覧から消える（KV時は他端末でも最終的に一致）,,,,,,,,
3.コメント,CMT-08,P2,,コメントいいね,いいね数・ハート表示が更新される,,,,,,,,
3.コメント,CMT-09,P1,,commentsDisabled の VOTE,「コメントを受け付けていません」系の表示,,,,,,,,
3.コメント,CMT-10,P1,,下部「関連VOTE」「新着VOTE」,カード表示・投票・ブックマークが動作する,,,,,,,,
3.コメント,CMT-11,P1,,URL /comments/3 と /comments/seed-3,同一カードとして扱われ activity がずれない,,,,,,,,
3.コメント（回帰）,REG-CMT-01,P0,回帰,投票→コメント→ブックマーク操作,コメント二重表示・消失なし,,,,,,,,
3.コメント（回帰）,REG-CMT-02,P1,回帰,KV本番でコメント後リロード,POST /api/activity が500のときは保存されない,,,,,,,,
4.検索,SRCH-01,P1,,検索画面を開く,タブが横スクロール・等間隔で崩れない,,,,,,,,
4.検索,SRCH-02,P1,,タグタップ,該当 VOTE 一覧に絞り込み,,,,,,,,
4.検索,SRCH-03,P1,,人気コレクション表示,コレクションカードタップで詳細へ,,,,,,,,
4.検索,SRCH-04,P1,,VOTEカード操作（投票・BM・コメント）,HOMEと同様に動作,,,,,,,,
4.検索,SRCH-05,P2,,非表示ユーザー・カード,一覧から除外される,,,,,,,,
5.VOTE作成,CRT-01,P1,,/create → フォームへ,入力項目が表示される,,,,,,,,
5.VOTE作成,CRT-02,P0,,必須項目を入力して作成,成功トースト／新着タブ。HOMEに自分のVOTEが出る,,,,,,,,
5.VOTE作成,CRT-03,P1,,KVありで別端末から一覧確認,作成VOTEが他ユーザーにも見える,,,,,,,,
5.VOTE作成,CRT-04,P1,,公開／非公開・コメント可否・期間設定,仕様どおり一覧・コメント導線に反映,,,,,,,,
5.VOTE作成,CRT-05,P2,,下書き（/drafts）,保存・復元が期待どおり（実装範囲内）,,,,,,,,
5.VOTE作成,CRT-06,P1,,未ログインで作成導線,ログイン促進または制限が明確,,,,,,,,
6.BM・コレ,BM-01,P0,,ログイン後ブックマークモーダルを開く,Bookmark登録。コレクション一覧が表示,,,,,,,,
6.BM・コレ,BM-02,P1,,コレクションに追加／ALL,トグルが効く。カードのBM状態が一致,,,,,,,,
6.BM・コレ,BM-03,P1,,「Bookmark削除」,BM解除・全コレクションからカード削除,,,,,,,,
6.BM・コレ,BM-04,P1,,新規コレクション作成（公開／非公開／メンバー限定）,作成・一覧反映。公開系はURL共有可能（KV時）,,,,,,,,
6.BM・コレ,BM-05,P1,,マイページ Bookmarkタブ,ALL／各コレクション階層。URLと一致,,,,,,,,
6.BM・コレ,BM-06,P0,回帰,BM操作後に当該VOTEのコメント,コメントが消えない（回帰）,,,,,,,,
6.BM・コレ,BM-07,P1,,2端末でuserコレクション同期,PUT /api/user-collections 後もう一方で一覧更新,,,,,,,,
7.コレクション詳細,COL-01,P1,,公開コレクションURLを開く,カード一覧・作成者情報が表示,,,,,,,,
7.コレクション詳細,COL-02,P0,,メンバー限定：未参加,参加導線。中身制限が仕様どおり,,,,,,,,
7.コレクション詳細,COL-03,P0,,メンバー限定：参加→投票,コレクション内集計（HOME全体集計と混ざらない）,,,,,,,,
7.コレクション詳細,COL-04,P1,,メンバー限定：コメント（?collectionId=）,通常コメントページと分離して表示,,,,,,,,
7.コレクション詳細,COL-05,P1,,参加解除,自分のコレ内コメント等が掃除される,,,,,,,,
7.コレクション詳細,COL-06,P1,,作成者がコレ削除,参加者側からも消える（KV・ローカル同期）,,,,,,,,
7.コレクション詳細,COL-07,P1,,共有シート,リンクコピーが動作,,,,,,,,
7.コレクション詳細,COL-08,P2,,col-seed-papa-warning 等シードURL,永続「読み込み中」にならない（404時はエラー表示）,,,,,,,,
8.マイページ,PROF-01,P0,回帰,4タブ（myVOTE／投票／Bookmark／コメント）,Safariでラベルが中央揃え（黄線と一致）,,,,,,,,
8.マイページ,PROF-02,P1,,myVOTE一覧,自分が作ったVOTEのみ。並び替え,,,,,,,,
8.マイページ,PROF-03,P1,,myVOTE編集モードで削除,一覧から消える。KV時はAPI削除,,,,,,,,
8.マイページ,PROF-04,P1,,投票タブ,自分が投票したVOTE一覧,,,,,,,,
8.マイページ,PROF-05,P1,,Bookmarkタブ階層,TOP→ALL／各コレクション→カード一覧,,,,,,,,
8.マイページ,PROF-06,P1,,コメントタブ,自分が書いたコメント一覧・スレッド遷移,,,,,,,,
8.マイページ,PROF-07,P1,,設定へ,/settings に遷移,,,,,,,,
8.マイページ,PROF-08,P1,,ブラウザ戻るでタブ状態,?tab= が復元される,,,,,,,,
9.通知,NTF-01,P1,,通知一覧を開く,お知らせ種別が表示される,,,,,,,,
9.通知,NTF-02,P1,,自分のVOTEへの投票（他user）,投票通知が届く（KV時）,,,,,,,,
9.通知,NTF-03,P1,,自分のVOTEへのBM・コメント,該当通知・リンク先が正しい,,,,,,,,
9.通知,NTF-04,P2,,未読バッジ（ボトムナビ）,既読操作で消える,,,,,,,,
10.設定,SET-01,P1,,設定一覧,白カードに影なし。chevronがSVG,,,,,,,,
10.設定,SET-02,P1,,アカウント管理,プロフィール編集が保存される,,,,,,,,
10.設定,SET-03,P0,,ログアウト,ゲストに戻る。秘密情報が残らない,,,,,,,,
10.設定,SET-04,P2,,未実装項目（表示設定等）,disabled表示・注釈あり,,,,,,,,
11.API（KV）,API-01,P0,,投票 POST /api/activity type=vote,200+sync。リロード後も投票済み,,,,,,,,
11.API（KV）,API-02,P0,,コメント POST type=comment,200+sync。正常時BAD_REQUESTトーストなし,,,,,,,,
11.API（KV）,API-03,P0,,コメント後リロード GET timeline-bootstrap,globalにコメント・userSelectionsに投票,,,,,,,,
11.API（KV）,API-04,P1,,BM POST /api/bookmarks,200。userId空で400にならない（ログイン時）,,,,,,,,
11.API（KV）,API-05,P1,,コレ PUT /api/user-collections,200。STORAGE_LIMIT時は仕様どおり,,,,,,,,
11.API（KV）,API-06,P0,,Upstash障害・上限時,500/KV_ERROR。データは消えずトーストで分かる,,,,,,,,
11.API（KV）,API-07,P1,,カードID 3 と seed-3,同一キーにマージされデータが分裂しない,,,,,,,,
12.UX・ブラウザ,UX-01,P1,,Safari：コメント入力モーダル,キーボードで入力欄が隠れない,,,,,,,,
12.UX・ブラウザ,UX-02,P1,,Safari：検索タブ,折り返し・重なりなし,,,,,,,,
12.UX・ブラウザ,UX-03,P1,回帰,Safari：マイページタブ,中央揃え（回帰）,,,,,,,,
12.UX・ブラウザ,UX-04,P2,,縦向き固定想定,横画面でも致命的不具合なし,,,,,,,,
12.UX・ブラウザ,UX-05,P2,,オフライン→オンライン復帰,クラッシュせず再取得できる,,,,,,,,
